Nodos AristasExistentes Tiempo
13 34 40171
13 27 22686
13 33 20989
13 36 22951
13 32 20762
13 26 119385
13 35 21421
13 35 21166
13 28 42390
13 37 22421
13 26 20461
13 31 20702
13 24 22110
13 26 22947
13 35 20946
13 33 22405
13 25 22207
13 30 23433
13 40 23211
13 27 23208
13 31 22677
13 21 196
13 30 21538
13 37 20734
13 30 22875
13 30 23082
13 31 23522
13 39 21530
13 33 20754
13 24 23498
13 32 23408
13 30 20359
13 20 23335
13 30 23454
13 35 20661
13 29 20551
13 30 22591
13 27 22426
13 27 22301
13 39 21059
13 21 23647
13 32 22334
13 32 22606
13 31 20400
13 25 23591
13 25 22044
13 30 21118
13 28 20977
13 30 21673
13 32 22103
13 29 21505
13 33 20816
13 28 20619
13 26 20573
13 31 19186
13 30 107394
13 32 19512
13 31 19034
13 27 20691
13 34 20635
13 24 22624
13 39 21211
13 30 20878
13 34 20704
13 32 21146
13 28 18750
13 24 21655
13 28 20933
13 24 20971
13 24 59790
13 34 19474
13 27 18927
13 28 18497
13 33 19219
13 37 46293
13 31 20823
13 33 18820
13 26 18656
13 35 46449
13 29 20405
13 27 22865
14 42 21416
14 42 21019
14 41 40470
14 34 21948
14 38 21170
14 44 21487
14 36 21403
14 46 23988
14 41 21232
14 40 21723
14 47 22195
14 46 103095
14 41 22571
14 44 21330
14 41 20896
14 43 41573
14 45 21886
14 40 21027
14 47 22024
14 39 21895
14 42 21367
14 42 21715
14 40 21094
14 44 21606
14 38 21462
14 41 21087
14 38 20677
14 41 19171
14 37 19698
14 36 19584
14 46 19322
14 40 19358
14 49 19682
14 44 19509
14 45 58538
14 41 19426
14 41 19597
14 40 19344
14 43 21942
14 33 29423
14 40 19276
14 37 19248
14 46 20250
14 51 19981
14 41 28654
14 45 19347
14 47 19464
14 42 19502
14 40 19825
14 35 19642
14 42 19431
14 41 19506
14 43 19847
14 38 19100
14 52 19900
14 42 19715
14 35 19547
14 44 19756
14 42 19175
14 46 19311
14 50 19660
14 42 18990
14 44 19067
14 41 19235
14 35 19239
14 42 19413
14 41 22365
14 38 19420
14 43 19234
14 50 19561
14 39 19274
14 44 19345
14 47 19284
14 41 19420
14 44 19366
14 47 19689
14 49 19714
14 50 19491
14 37 18851
14 33 19433
14 45 19737
14 40 28529
14 48 19561
14 38 19982
14 43 19776
14 42 19146
14 38 19624
14 42 20450
14 36 22443
14 41 19420
14 39 19810
14 38 21554
14 37 19687
14 36 22410
14 44 19568
14 40 19375
14 44 19272
14 35 19036
14 44 20715
14 41 18859
15 46 30155
15 48 19961
15 33 28285
15 43 21226
15 48 32927
15 39 19833
15 43 20317
15 38 22469
15 43 20422
15 42 23082
15 51 20702
15 41 19739
15 39 19972
15 50 31547
15 49 20656
15 35 19753
15 35 19677
15 43 20042
15 37 57328
15 46 19384
15 36 24446
15 39 22233
15 42 22855
15 40 21839
15 37 22450
15 37 21629
15 41 20305
15 48 22427
15 46 20583
15 45 20570
15 44 21979
15 43 20650
15 42 21755
15 44 20415
15 45 20291
15 42 20087
15 50 20531
15 44 20150
15 44 20226
15 38 21610
15 39 19572
15 43 19984
15 45 19938
15 46 20538
15 46 19997
15 50 20328
15 55 20784
15 40 20001
15 39 19509
15 48 20238
15 46 20382
15 43 20470
15 39 22419
15 36 19818
15 41 20146
15 42 19878
15 38 22366
15 40 142182
15 38 20192
15 41 19686
15 37 19665
15 46 22352
15 45 20098
15 37 19680
15 39 21908
15 40 29918
15 47 20353
15 43 22479
15 41 20226
15 43 20380
15 40 19502
15 37 19733
15 49 22125
15 34 21576
15 50 20450
15 40 22640
15 41 19964
15 40 19703
15 36 21725
15 44 19981
15 45 22308
15 35 19785
15 41 19816
15 40 30664
15 39 22913
15 37 21934
15 49 22353
15 40 20125
15 42 23916
15 43 31547
15 46 20039
15 47 20327
15 41 22480
15 44 20265
15 45 20385
15 44 20588
15 36 21223
15 40 22000
15 40 19896
15 35 22487
16 55 20915
16 46 20211
16 47 20300
16 60 21331
16 56 29545
16 51 21107
16 58 21382
16 62 21050
16 63 21186
16 58 22600
16 58 22285
16 53 22641
16 69 23211
16 54 22686
16 56 22649
16 55 22516
16 52 22469
16 55 42221
16 61 23398
16 51 26063
16 56 22503
16 54 22459
16 54 22739
16 56 22842
16 59 22928
16 61 23026
16 49 107016
16 53 22833
16 53 22391
16 57 23472
16 60 22818
16 47 22222
16 51 22012
16 58 22951
16 62 23912
16 51 30097
16 64 21085
16 69 21646
